file,structure,label_id,arc_length_mm,cross_section_mm2,distance_from_cranial_mm
seg_16,IJV_left,3,0.0,30.672,36.0000005364418
seg_16,IJV_left,3,2.0,23.6448,34.36211261331621
seg_16,IJV_left,3,4.0,23.5728,32.72050811133536
seg_16,IJV_left,3,6.0,24.768,31.037259517451094
seg_16,IJV_left,3,8.0,26.0352,29.156058736089697
seg_16,IJV_left,3,10.0,24.6816,27.194915303074037
seg_16,IJV_left,3,12.0,23.7456,25.279703277619813
seg_16,IJV_left,3,14.0,22.953599999999998,23.44528378622495
seg_16,IJV_left,3,16.0,22.6368,21.66593611257835
seg_16,IJV_left,3,18.0,22.8816,19.89953138098685
seg_16,IJV_left,3,20.0,23.2416,18.14078495448178
seg_16,IJV_left,3,22.0,22.68,16.381374421800505
seg_16,IJV_left,3,24.0,22.9392,14.628594360030709
seg_16,IJV_left,3,26.0,23.832,12.901679759360828
seg_16,IJV_left,3,28.0,25.919999999999998,11.117259977228844
seg_16,IJV_left,3,30.0,26.279999999999998,9.304768719208559
seg_16,IJV_left,3,32.0,26.150399999999998,7.51329843769809
seg_16,IJV_left,3,34.0,24.552,5.724525083545989
seg_16,IJV_left,3,36.0,23.1696,3.9547409843284926
