file,structure,label_id,arc_length_mm,cross_section_mm2,distance_from_cranial_mm
seg_03,CCA_left,2,0.0,46.2096,36.0000005364418
seg_03,CCA_left,2,2.0,36.2448,34.34316193448698
seg_03,CCA_left,2,4.0,36.6048,32.61405172427005
seg_03,CCA_left,2,6.0,39.0096,30.771741510852557
seg_03,CCA_left,2,8.0,42.8688,28.837063569289665
seg_03,CCA_left,2,10.0,44.7408,26.874898301263134
seg_03,CCA_left,2,12.0,44.784,24.956316901225474
seg_03,CCA_left,2,14.0,44.3232,23.058495330965414
seg_03,CCA_left,2,16.0,47.376,21.68242801132567
seg_03,CCA_left,2,18.0,56.303999999999995,19.94082021954293
seg_03,CCA_left,2,20.0,48.6432,18.33062740991506
seg_03,CCA_left,2,22.0,44.5392,16.77016882825596
seg_03,CCA_left,2,24.0,42.580799999999996,15.371865509434397
seg_03,CCA_left,2,26.0,42.768,14.092675729301895
seg_03,CCA_left,2,28.0,44.2368,12.934882643651802
seg_03,CCA_left,2,30.0,38.361599999999996,11.777089558001713
seg_03,CCA_left,2,32.0,30.1968,10.619296472351621
seg_03,CCA_left,2,34.0,22.4208,9.419656170283828
seg_03,CCA_left,2,36.0,12.528,8.054067770222145
