file,structure,label_id,arc_length_mm,cross_section_mm2,distance_from_cranial_mm
seg_09,IJV_left,3,0.0,92.2176,36.0000005364418
seg_09,IJV_left,3,2.0,73.1664,34.567044239945496
seg_09,IJV_left,3,4.0,63.8208,33.032023994772146
seg_09,IJV_left,3,6.0,66.5856,31.41124599468852
seg_09,IJV_left,3,8.0,69.6096,29.64485537568448
seg_09,IJV_left,3,10.0,69.4224,27.758625240495572
seg_09,IJV_left,3,12.0,69.1776,25.870905871166375
seg_09,IJV_left,3,14.0,67.2912,24.02454147835266
seg_09,IJV_left,3,16.0,65.8944,22.270512035753356
seg_09,IJV_left,3,18.0,67.2912,20.534555757058605
seg_09,IJV_left,3,20.0,70.4592,18.76258664278917
seg_09,IJV_left,3,22.0,72.10079999999999,16.95975457587754
seg_09,IJV_left,3,24.0,72.648,15.11057609362327
seg_09,IJV_left,3,26.0,69.0624,13.32649250853932
seg_09,IJV_left,3,28.0,73.368,11.548712132312563
seg_09,IJV_left,3,30.0,73.2672,9.693159493437477
seg_09,IJV_left,3,32.0,75.1248,7.855637496151411
seg_09,IJV_left,3,34.0,73.1952,5.958705971322382
seg_09,IJV_left,3,36.0,61.4304,4.026614505292413
