file,structure,label_id,arc_length_mm,cross_section_mm2,distance_from_cranial_mm
seg_14,IJV_left,3,0.0,30.9312,36.0000005364418
seg_14,IJV_left,3,2.0,23.601599999999998,34.36988178928685
seg_14,IJV_left,3,4.0,24.0048,32.69745521583443
seg_14,IJV_left,3,6.0,25.5312,30.94577931504149
seg_14,IJV_left,3,8.0,26.5104,29.03056937971455
seg_14,IJV_left,3,10.0,27.144,27.054493047021694
seg_14,IJV_left,3,12.0,26.784,25.08711815843029
seg_14,IJV_left,3,14.0,25.4304,23.160501965415605
seg_14,IJV_left,3,16.0,23.7744,21.29711942138416
seg_14,IJV_left,3,18.0,23.4864,19.467203917249297
seg_14,IJV_left,3,20.0,24.3216,17.650788609537106
seg_14,IJV_left,3,22.0,25.3584,15.843965586812715
seg_14,IJV_left,3,24.0,25.272,14.011720216003068
seg_14,IJV_left,3,26.0,25.7328,12.156120983655295
seg_14,IJV_left,3,28.0,25.214399999999998,10.337973217072557
seg_14,IJV_left,3,30.0,23.2272,8.561110054728431
seg_14,IJV_left,3,32.0,18.36,6.804671610641401
