file,structure,label_id,arc_length_mm,cross_section_mm2,distance_from_cranial_mm
seg_06,IJV_left,3,0.0,98.3808,36.0000005364418
seg_06,IJV_left,3,2.0,85.1472,34.496683056546836
seg_06,IJV_left,3,4.0,76.7088,32.9275007489776
seg_06,IJV_left,3,6.0,77.0256,31.2985010206341
seg_06,IJV_left,3,8.0,76.0608,29.719934260211062
seg_06,IJV_left,3,10.0,76.032,28.14471357305884
seg_06,IJV_left,3,12.0,81.1584,26.60510408282182
seg_06,IJV_left,3,14.0,87.5664,24.901515758098952
seg_06,IJV_left,3,16.0,89.0208,23.08757386099262
seg_06,IJV_left,3,18.0,88.776,21.30406954291097
seg_06,IJV_left,3,20.0,87.8112,19.578167566795504
seg_06,IJV_left,3,22.0,88.4448,17.854622909802988
seg_06,IJV_left,3,24.0,88.9344,16.065611476361394
seg_06,IJV_left,3,26.0,89.7984,14.242776581340161
seg_06,IJV_left,3,28.0,88.3152,12.400451721394866
seg_06,IJV_left,3,30.0,86.0976,10.531759752584417
seg_06,IJV_left,3,32.0,84.6288,8.719823956488728
seg_06,IJV_left,3,34.0,87.07679999999999,6.954445663228158
seg_06,IJV_left,3,36.0,91.6128,5.0763032010216085
