file,structure,label_id,is_vessel,volume_ml,mean_area_mm2,std_area_mm2,min_area_mm2,max_area_mm2,num_samples,spacing_x_mm,spacing_y_mm,spacing_z_mm,per_slice_csv
seg_01,Thyroid,1,False,0.9961648449620274,,,,,0,0.04800000041723251,0.04800000041723251,0.4000000059604645,
seg_01,CCA_left,2,True,1.6207811083282935,41.000589473684215,8.392704091047722,15.6528,56.5632,19,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_01_CCA_left_slices.csv
seg_01,IJV_left,3,True,5.297073118220501,160.26268235294117,11.72827045010751,131.9472,189.60479999999998,17,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_01_IJV_left_slices.csv
seg_02,Thyroid,1,False,1.0898869599879253,,,,,0,0.04800000041723251,0.04800000041723251,0.4000000059604645,
seg_02,CCA_left,2,True,1.5534914037557883,38.79863999999999,9.467386501796575,11.5776,51.163199999999996,20,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_02_CCA_left_slices.csv
seg_02,IJV_left,3,True,4.586614420082738,140.31529411764703,13.752619432053901,104.616,176.9904,17,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_02_IJV_left_slices.csv
seg_03,Thyroid,1,False,1.0898869599879253,,,,,0,0.04800000041723251,0.04800000041723251,0.4000000059604645,
seg_03,CCA_left,2,True,1.5369265648209784,40.24951578947368,9.587826561968164,12.528,56.303999999999995,19,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_03_CCA_left_slices.csv
seg_03,IJV_left,3,True,3.8534677724124773,116.60696470588236,10.812006613180563,88.6464,142.1712,17,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_03_IJV_left_slices.csv
seg_04,Thyroid,1,False,0.927745258753043,,,,,0,0.04800000041723251,0.04800000041723251,0.4000000059604645,
seg_04,CCA_left,2,True,1.6211847691413261,40.842189473684215,8.42482825674676,15.4224,52.7904,19,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_04_CCA_left_slices.csv
seg_04,IJV_left,3,True,3.8498339034951545,116.67981176470587,9.01465239484372,88.344,136.3248,17,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_04_IJV_left_slices.csv
seg_05,Thyroid,1,False,1.0898869599879253,,,,,0,0.04800000041723251,0.04800000041723251,0.4000000059604645,
seg_05,CCA_left,2,True,1.5254360556499975,38.694240000000015,9.840363985463139,11.073599999999999,51.1488,20,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_05_CCA_left_slices.csv
seg_05,IJV_left,3,True,3.5662640255398603,108.16687058823528,8.272904586146748,81.9216,124.8192,17,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_05_IJV_left_slices.csv
seg_06,Thyroid,1,False,1.0898869599879253,,,,,0,0.04800000041723251,0.04800000041723251,0.4000000059604645,
seg_06,CCA_left,2,True,1.6523560469477172,41.30537142857143,10.567056358555961,12.7584,57.0096,21,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_06_CCA_left_slices.csv
seg_06,IJV_left,3,True,3.2683982879230125,85.71562105263159,5.7693606709180285,76.032,98.3808,19,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_06_IJV_left_slices.csv
seg_07,Thyroid,1,False,1.0898869599879253,,,,,0,0.04800000041723251,0.04800000041723251,0.4000000059604645,
seg_07,CCA_left,2,True,1.6068041222770346,40.90888421052631,7.513159037964703,18.1296,55.4544,19,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_07_CCA_left_slices.csv
seg_07,IJV_left,3,True,2.809198170697347,85.96630588235293,7.772193393530298,64.4832,106.3584,17,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_07_IJV_left_slices.csv
seg_08,Thyroid,1,False,1.0898869599879253,,,,,0,0.04800000041723251,0.04800000041723251,0.4000000059604645,
seg_08,CCA_left,2,True,1.5404387825343733,40.41432,7.145296070114939,21.211199999999998,53.2512,20,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_08_CCA_left_slices.csv
seg_08,IJV_left,3,True,2.637371374749773,80.74418823529413,6.2491130771995405,65.01599999999999,97.2144,17,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_08_IJV_left_slices.csv
seg_09,Thyroid,1,False,1.0898869599879253,,,,,0,0.04800000041723251,0.04800000041723251,0.4000000059604645,
seg_09,CCA_left,2,True,1.643213774652551,42.97248,6.944755287956516,30.7152,56.8512,20,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_09_CCA_left_slices.csv
seg_09,IJV_left,3,True,2.548446187878748,70.79646315789473,6.149768708035032,61.4304,92.2176,19,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_09_IJV_left_slices.csv
seg_10,Thyroid,1,False,1.0898869599879253,,,,,0,0.04800000041723251,0.04800000041723251,0.4000000059604645,
seg_10,CCA_left,2,True,1.4815273438323675,45.57207272727272,14.076880801002039,30.5136,89.712,22,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_10_CCA_left_slices.csv
seg_10,IJV_left,3,True,3.0707777503426654,89.18159999999999,5.899071601531889,80.26559999999999,107.9712,18,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_10_IJV_left_slices.csv
seg_11,Thyroid,1,False,1.0898869599879253,,,,,0,0.04800000041723251,0.04800000041723251,0.4000000059604645,
seg_11,CCA_left,2,True,1.6045655558047607,39.82491428571428,7.39587123650343,19.3824,49.651199999999996,21,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_11_CCA_left_slices.csv
seg_11,IJV_left,3,True,2.051491803834154,58.7368,4.565437109412416,50.8032,73.5552,18,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_11_IJV_left_slices.csv
seg_12,Thyroid,1,False,1.0898869599879253,,,,,0,0.04800000041723251,0.04800000041723251,0.4000000059604645,
seg_12,CCA_left,2,True,1.5657634297520011,39.73032,8.916856823432795,9.648,49.9536,20,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_12_CCA_left_slices.csv
seg_12,IJV_left,3,True,1.9823091328005324,56.8,4.576664007768104,48.1248,71.0784,18,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_12_IJV_left_slices.csv
seg_13,Thyroid,1,False,1.0898869599879253,,,,,0,0.04800000041723251,0.04800000041723251,0.4000000059604645,
seg_13,CCA_left,2,True,1.556312421446867,42.087410526315786,3.9120626394046956,33.2064,47.304,19,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_13_CCA_left_slices.csv
seg_13,IJV_left,3,True,1.7819542079319037,51.232,4.748370870098501,42.0768,65.9232,18,0.04800000041723251,0.04800000041723251,0.4000000059604645,C:\Python\catalyst-tools\synthetic_data\Synthetic\output_volumes\metrics\seg_13_IJV_left_slices.csv
