file,structure,label_id,arc_length_mm,cross_section_mm2,distance_from_cranial_mm
seg_05,CCA_left,2,0.0,47.7504,36.0000005364418
seg_05,CCA_left,2,2.0,34.848,34.4262149996927
seg_05,CCA_left,2,4.0,34.3872,32.835276749392136
seg_05,CCA_left,2,6.0,37.2528,31.079744817740554
seg_05,CCA_left,2,8.0,40.248,29.158192576385446
seg_05,CCA_left,2,10.0,41.7888,27.222809215293978
seg_05,CCA_left,2,12.0,43.099199999999996,25.337855883524803
seg_05,CCA_left,2,14.0,41.2992,23.458978742476933
seg_05,CCA_left,2,16.0,42.1776,21.882117202477342
seg_05,CCA_left,2,18.0,45.748799999999996,20.490064230326706
seg_05,CCA_left,2,20.0,51.1488,18.973372299708174
seg_05,CCA_left,2,22.0,46.5408,17.326277248986244
seg_05,CCA_left,2,24.0,42.8112,15.738067603410723
seg_05,CCA_left,2,26.0,41.5008,14.267283128265461
seg_05,CCA_left,2,28.0,43.92,13.108475162766059
seg_05,CCA_left,2,30.0,45.1872,11.987215411545748
seg_05,CCA_left,2,32.0,39.4704,10.781488976463013
seg_05,CCA_left,2,34.0,27.936,9.377361092087222
seg_05,CCA_left,2,36.0,15.696,7.828290247714152
seg_05,CCA_left,2,38.0,11.073599999999999,6.524845212556647
