file,structure,label_id,arc_length_mm,cross_section_mm2,distance_from_cranial_mm
seg_08,IJV_left,3,0.0,97.2144,36.0000005364418
seg_08,IJV_left,3,2.0,79.6752,34.29319319415959
seg_08,IJV_left,3,4.0,75.4128,32.69551512603093
seg_08,IJV_left,3,6.0,79.3584,30.926313345402335
seg_08,IJV_left,3,8.0,79.056,29.012266447168653
seg_08,IJV_left,3,10.0,81.216,27.026736648312944
seg_08,IJV_left,3,12.0,76.9248,25.088087249096475
seg_08,IJV_left,3,14.0,76.5936,23.261861625591
seg_08,IJV_left,3,16.0,81.3168,21.3959574264088
seg_08,IJV_left,3,18.0,84.3408,19.50365095843606
seg_08,IJV_left,3,20.0,84.7728,17.645151489527752
seg_08,IJV_left,3,22.0,84.672,15.842201397212499
seg_08,IJV_left,3,24.0,84.744,14.030291148704816
seg_08,IJV_left,3,26.0,83.88,12.186827760283931
seg_08,IJV_left,3,28.0,80.5536,10.365082617652943
seg_08,IJV_left,3,30.0,77.904,8.565682935312205
seg_08,IJV_left,3,32.0,65.01599999999999,6.6999070928875835
