file,structure,label_id,arc_length_mm,cross_section_mm2,distance_from_cranial_mm
seg_13,CCA_left,2,0.0,46.425599999999996,36.0000005364418
seg_13,CCA_left,2,2.0,33.7392,34.46012319587552
seg_13,CCA_left,2,4.0,33.2064,32.884288729606794
seg_13,CCA_left,2,6.0,36.1152,31.197720738389
seg_13,CCA_left,2,8.0,38.9808,29.362848914421036
seg_13,CCA_left,2,10.0,43.7472,27.419999424494303
seg_13,CCA_left,2,12.0,43.3728,25.47410118111165
seg_13,CCA_left,2,14.0,42.408,23.562757436092102
seg_13,CCA_left,2,16.0,42.782399999999996,21.91049907726947
seg_13,CCA_left,2,18.0,43.9488,20.436316406441613
seg_13,CCA_left,2,20.0,47.304,19.039621235798027
seg_13,CCA_left,2,22.0,44.0928,17.646537999725012
seg_13,CCA_left,2,24.0,44.208,16.360798022954402
seg_13,CCA_left,2,26.0,43.5888,14.99341776683833
seg_13,CCA_left,2,28.0,42.48,13.518072462501515
seg_13,CCA_left,2,30.0,42.782399999999996,12.14169587019898
seg_13,CCA_left,2,32.0,44.7984,10.753487780453455
seg_13,CCA_left,2,34.0,46.1952,9.234186851662118
seg_13,CCA_left,2,36.0,39.4848,7.588764302031723
